year,men_less_than_hs,men_high_school,men_some_college,men_bachelors_degree,men_advanced_degree,women_less_than_hs,women_high_school,women_some_college,women_bachelors_degree,women_advanced_degree,average_hourly_earnings_for_men,average_hourly_earnings_for_women,men_less_than_hs_relative_salary,men_high_school_relative_salary,men_some_college_relative_salary,men_bachelors_degree_relative_salary,men_advanced_degree_relative_salary,women_less_than_hs_relative_salary,women_high_school_relative_salary,women_some_college_relative_salary,women_bachelors_degree_relative_salary,women_advanced_degree_relative_salary
2011,16.16,22.81,25.34,41.41,54.15,13.07,18.01,20.64,31.63,41.18,31.974,24.906,0.5054106461499969,0.713392131106524,0.7925189216238193,1.2951147807593668,1.6935635203602928,0.5247731470328435,0.7231189271661448,0.8287159720549266,1.2699751064000642,1.6534168473460211
2012,16.15,22.65,25.05,42.25,56.26,12.72,17.82,20.26,31.45,40.83,32.471999999999994,24.616,0.4973515644247352,0.6975240206947525,0.7714338507021435,1.3011209657551124,1.7325695984232572,0.5167370815729607,0.7239194020149496,0.8230419239519012,1.2776243093922652,1.6586772830679233
2013,15.86,22.28,25.07,42.34,56.35,12.62,17.84,20.12,31.79,41.03,32.38,24.68,0.48980852378011114,0.6880790611488573,0.7742433600988264,1.307597282273008,1.740271772699197,0.5113452188006483,0.7228525121555915,0.8152350081037277,1.2880875202593192,1.6624797406807132
2014,15.95,22.4,24.96,41.14,54.63,12.6,17.72,20.14,31.98,40.34,31.815999999999995,24.556,0.5013200905204929,0.704048277596178,0.7845109378928842,1.2930600955494094,1.7170605984410363,0.5131128848346636,0.7216158983547808,0.8201661508388989,1.30232936960417,1.6427756963674867
2015,16.63,22.93,25.99,43.47,56.32,13.09,18.05,20.54,32.54,41.16,33.068,25.076,0.5029031087456151,0.6934196201766059,0.785956211443087,1.3145639288738358,1.7031571307608566,0.5220130802360823,0.719811772212474,0.8191099058861062,1.2976551284096347,1.6414101132557024
2016,16.95,23.01,25.98,44.98,57.71,13.11,18.33,20.89,32.66,42.17,33.726,25.432,0.5025796121686532,0.6822629425369152,0.7703255648461128,1.3336891419083199,1.7111427385399989,0.5154922931739541,0.7207455174583202,0.8214061025479711,1.2842088707140609,1.6581472161056938
2017,17.63,23.47,25.91,44.5,56.77,13.39,18.31,20.83,33.01,42.75,33.656,25.657999999999998,0.5238293320656049,0.6973496553363442,0.7698478725932969,1.3222010934157358,1.6867720465890184,0.5218645256839972,0.7136175851586251,0.8118325668407514,1.2865383116376958,1.6661470106789307
2018,17.7,23.72,26.61,44.97,59.73,13.36,18.49,20.91,33.03,43.19,34.546,25.796,0.512360331152666,0.6866207375673016,0.7702773114108724,1.3017426040641464,1.7289990158050135,0.5179097534501473,0.7167777950069778,0.8105907892696542,1.280431074585207,1.6742905876880136
2019,17.55,23.99,26.99,45.74,59.93,13.96,18.48,21.09,33.8,44.22,34.84,26.310000000000002,0.503731343283582,0.6885763490241101,0.7746842709529276,1.3128587830080367,1.7201492537313432,0.5305967312808818,0.7023945267958951,0.8015963511972634,1.2846826301786392,1.6807297605473202
2020,18.76,25.09,28.55,48.15,62.7,14.4,19.35,22.35,35.41,46.04,36.65,27.509999999999998,0.5118690313778991,0.6845839017735335,0.7789904502046385,1.3137789904502046,1.7107776261937246,0.5234460196292258,0.7033805888767722,0.8124318429661942,1.287168302435478,1.67357324609233
2021,18.34,24.36,27.96,47.83,63.52,14.36,19.36,21.97,35.08,44.8,36.402,27.113999999999997,0.5038184715125542,0.6691940003296521,0.7680896654029998,1.3139387945717267,1.744959068183067,0.5296156966880579,0.714022276314819,0.8102825108799883,1.293796562661356,1.6522829534557795
2022,17.99,24.08,27.96,49.01,63.51,14.33,18.93,21.76,34.39,44.34,36.51,26.75,0.49274171459874005,0.6595453300465626,0.7658175842235004,1.3423719528896192,1.7395234182415777,0.5357009345794392,0.7076635514018691,0.8134579439252337,1.2856074766355141,1.657570093457944
